,streetname_nl,house_number,municipality_name_nl,postcode
40370,Hondsberg,29,Essen,2910
40578,Olympialaan,14,Essen,2910
40593,Kloosterstraat,36,Essen,2910
41329,Varenlaan,27,Essen,2910
42019,Boterpotlaan,22,Essen,2910
42083,Wasbrug,17,Essen,2910
42216,Oude Baan,156,Essen,2910
42635,Hortensialaan,19,Essen,2910
42814,Postbaan,55,Essen,2910
43202,Velodreef,17,Essen,2910
43433,Kraaienberg,53,Essen,2910
43559,Beekstraat,2,Essen,2910
44816,Kammenstraat,66,Essen,2910
45078,Laaglandstraat,6,Essen,2910
45465,Over d'Aa,254,Essen,2910
45470,Over d'Aa,105A,Essen,2910
45490,Wasbrug,1,Essen,2910
45557,Middenstraat,12,Essen,2910
46647,Dennenlaan,14,Essen,2910
47987,Corsicalaan,37,Essen,2910
48154,Nieuwstraat,93,Essen,2910
49133,Guido Gezellelaan,38,Essen,2910
49615,Nolsebaan,203,Essen,2910
49671,Deckerslaan,4,Essen,2910
49770,Over d'Aa,12,Essen,2910
50291,Kammenstraat,84,Essen,2910
50573,Etting,9,Essen,2910
50647,Paviljoenweg,45,Essen,2910
50832,Nolsebaan,24,Essen,2910
51279,Marterlaan,8,Essen,2910
51685,Schelpheuvelstraat,20,Essen,2910
51935,Over d'Aa,218,Essen,2910
52000,Deken Verstraelenstraat,5,Essen,2910
52082,Spillebeekweg,9,Essen,2910
52252,Vogelkerslaan,44,Essen,2910
52389,Patrijzenlaan,10,Essen,2910
52884,Moerkantsebaan,182,Essen,2910
53903,Molenstraat,19,Essen,2910
54028,Molenstraat,3,Essen,2910
54641,Veldweg,47,Essen,2910
55699,Laaglandstraat,13,Essen,2910
55909,Collegelaan,56,Essen,2910
56810,Kleiputtenlaan,48,Essen,2910
57219,Leemstraat,110,Essen,2910
57447,Postbaan,20,Essen,2910
57790,Veldweg,53,Essen,2910
58217,Steenovenstraat,133,Essen,2910
58471,Leemstraat,28,Essen,2910
58665,Eikenblok,25,Essen,2910
59138,Hemelrijklaan,19,Essen,2910
59395,Alfons Tirelirenstraat,4,Essen,2910
59397,Spijker,105,Essen,2910
59752,Over d'Aa,50,Essen,2910
60023,Over d'Aa,118,Essen,2910
60229,Molenakkersstraat,55,Essen,2910
60433,Sint-Jansstraat,166,Essen,2910
61010,Heikantstraat,10,Essen,2910
61185,Albert Yssackersstraat,45,Essen,2910
61239,Huybergsebaan,180,Essen,2910
62003,Visserij,20,Essen,2910
62104,Oude Baan,174,Essen,2910
62696,Schuurblok,4,Essen,2910
62751,Heikantstraat,63,Essen,2910
63082,Hortensialaan,3,Essen,2910
63171,Moerkantsebaan,146,Essen,2910
63200,Rinkvenstraat,28,Essen,2910
63375,Rodenbachlaan,30,Essen,2910
63439,Kalmthoutsesteenweg,240,Essen,2910
63708,Koekoekstraat,44,Essen,2910
63813,Zurkelpad,8,Essen,2910
63876,Schanker,12,Essen,2910
64070,Nieuwe Heikant,32,Essen,2910
64910,Eekhoornlaan,19,Essen,2910
64944,Horendonk,297,Essen,2910
65262,Heuvelplein,21,Essen,2910
65741,Buntweg,16,Essen,2910
66948,Kammenstraat,51,Essen,2910
67014,Elzendreef,6,Essen,2910
67360,Spurrieveld,39,Essen,2910
67625,Kloosterstraat,18,Essen,2910
69001,Steenpaal,97,Essen,2910
69384,Smoutebos,15,Essen,2910
71491,Hemelrijklaan,37,Essen,2910
71577,Doornboom,11,Essen,2910
71640,Beekstraat,18,Essen,2910
71985,Kalmthoutsesteenweg,58,Essen,2910
72174,Albert Yssackersstraat,10,Essen,2910
72439,Kammenstraat,119,Essen,2910
73037,Hey-endlaan,46,Essen,2910
73116,Huybergsebaan,172,Essen,2910
73682,Heikantstraat,35,Essen,2910
74033,Hemelrijk,81,Essen,2910
74660,Dreef,32,Essen,2910
74932,Stationsstraat,79,Essen,2910
76020,Zwartven,16,Essen,2910
76110,Nieuwe Heikant,50,Essen,2910
76144,Hemelrijk,45,Essen,2910
76376,Sint-Jansstraat,218,Essen,2910
76462,Begonialaan,36,Essen,2910
77782,Kapelstraat,94,Essen,2910
77965,Kerkstraat,68,Essen,2910
78738,Cardijnstraat,28,Essen,2910
78975,Kraaienberg,10,Essen,2910
80348,Schelpheuvelstraat,55,Essen,2910
80689,Steenovenstraat,62,Essen,2910
80890,Sint-Antoniusstraat,4,Essen,2910
81098,Heikantvenstraat,71,Essen,2910
81489,dr. Jef Goossenaertsstraat,4,Essen,2910
81868,Kapelstraat,76,Essen,2910
82183,Nachtegalendreef,17,Essen,2910
82332,Kerkstraat,86,Essen,2910
82410,Deckerslaan,11,Essen,2910
83279,Nolsebaan,87,Essen,2910
83905,Marterlaan,1,Essen,2910
84402,Vaartkant,18,Essen,2910
84754,Stationsstraat,2,Essen,2910
85866,Schelpheuvelstraat,73,Essen,2910
85941,Jachthoornlaan,25,Essen,2910
85959,Nollekensstraat,19,Essen,2910
86847,Beliestraat,72,Essen,2910
87059,Sint-Jansstraat,75,Essen,2910
87233,Kalmthoutsesteenweg,104,Essen,2910
87500,Sint-Jansstraat,22,Essen,2910
87551,Wasbrug,8,Essen,2910
87671,Kalmthoutsesteenweg,150,Essen,2910
88702,Dreveneind,19,Essen,2910
88785,Velodreef,8,Essen,2910
88820,Verbindingsstraat,47,Essen,2910
89628,Dennenlaan,7,Essen,2910
89755,Patrijzenlaan,17,Essen,2910
90590,Spijker,90,Essen,2910
91212,Doornboom,1A,Essen,2910
91390,Kerkstraat,47,Essen,2910
91886,Heikantstraat,88,Essen,2910
92048,Alfons Tirelirenstraat,11,Essen,2910
93331,Horendonk,306,Essen,2910
93723,Visserij,5,Essen,2910
94296,Velodreef,10,Essen,2910
94421,Vissenheuvel,7,Essen,2910
94765,Klapboomlaan,28,Essen,2910
95390,Watermolenstraat,13,Essen,2910
95475,Struisven,7,Essen,2910
95505,Kalmthoutsesteenweg,275,Essen,2910
95724,Nieuwmoersesteenweg,75,Essen,2910
95901,Vissenheuvel,39,Essen,2910
95949,Burgemeester Kenisstraat,7,Essen,2910
95986,Hemelrijklaan,30,Essen,2910
96529,Eekhoornlaan,30,Essen,2910
96860,Postbaan,40,Essen,2910
97191,Vossenboslaan,71,Essen,2910
97529,Moerkantsebaan,216,Essen,2910
97654,Leemstraat,48,Essen,2910
97736,Sint-Jansstraat,248,Essen,2910
99237,Leemstraat,92,Essen,2910
99662,Kalmthoutsesteenweg,257,Essen,2910
100214,Kammenstraat,102,Essen,2910
100218,Moerkantsebaan,73,Essen,2910
100395,Boterpotlaan,57,Essen,2910
100823,Nieuwstraat,60,Essen,2910
100879,Spijker,54,Essen,2910
101023,Pastoor Schoetersstraat,6,Essen,2910
101366,Moerkantsebaan,269,Essen,2910
101428,Rijkmakerlaan,10,Essen,2910
101575,Den Uil,24,Essen,2910
101820,Stationsstraat,135,Essen,2910
101911,Kleiputtenlaan,2,Essen,2910
102053,Molenstraat,12,Essen,2910
102184,Veldweg,27,Essen,2910
102420,Heikantlaan,54,Essen,2910
102447,Kleiputtenlaan,26,Essen,2910
103404,Rodenbachlaan,37,Essen,2910
103536,Kraaienberg,8,Essen,2910
103549,Handelsstraat,15,Essen,2910
104244,Heuvelplein,28,Essen,2910
104654,Kalmthoutsesteenweg,185,Essen,2910
104911,Essendonk,25,Essen,2910
105302,Epicealaan,4,Essen,2910
105776,Dassenlaan,3,Essen,2910
107277,Nolsebaan,16,Essen,2910
107330,Magerbeek,9,Essen,2910
107533,Essendonkbos,6,Essen,2910
107920,Achterstraat,36,Essen,2910
107944,Burgem. Dierckxsensstraat,2,Essen,2910
108464,Reeënlaan,3,Essen,2910
109457,Rinkvenstraat,2,Essen,2910
109666,dr. Jef Goossenaertsstraat,11,Essen,2910
109971,Antwerpsesteenweg,1,Essen,2910
110131,Distelpad,5,Essen,2910
110614,Paviljoenweg,3,Essen,2910
110880,Kloosterstraat,26,Essen,2910
111381,Sint-Antoniusstraat,11,Essen,2910
112331,Kalmthoutsesteenweg,204,Essen,2910
112618,Molenakkersstraat,65,Essen,2910
112964,Stationsstraat,235,Essen,2910
113430,Leemstraat,2,Essen,2910
113444,Schanker,55,Essen,2910
113812,Nolsebaan,80,Essen,2910
114465,Moerkantsebaan,324,Essen,2910
114751,Beliestraat,89,Essen,2910
115069,Stationsstraat,62,Essen,2910
115715,Kerkstraat,33,Essen,2910
115825,Heikantvenstraat,35,Essen,2910
115944,Hemelrijklaan,40,Essen,2910
115987,Nolsebaan,213,Essen,2910
116159,Kammenstraat,94,Essen,2910
116167,Bergsebaan,10,Essen,2910
117338,Visserij,12,Essen,2910
117723,Hellebloklaan,10,Essen,2910
117747,Middenstraat,55,Essen,2910
117842,Albert Yssackersstraat,53,Essen,2910
118268,Hofstraat,2,Essen,2910
118931,Steenovenstraat,123,Essen,2910
119262,Kalmthoutsesteenweg,66,Essen,2910
119300,Eekhoornlaan,29,Essen,2910
119677,Kalmthoutsesteenweg,132,Essen,2910
120187,Eikendreef,4,Essen,2910
120711,Platanenlaan,45,Essen,2910
121149,Beliestraat,133,Essen,2910
121153,Moerkantsebaan,5,Essen,2910
121501,Buntweg,24,Essen,2910
121507,Nolsebaan,69,Essen,2910
121540,Heikantstraat,53,Essen,2910
121708,Schanker,20,Essen,2910
121858,Paviljoenweg,35,Essen,2910
121930,Kalmthoutsesteenweg,250,Essen,2910
122213,Kapelstraat,23,Essen,2910
122595,Baertshoek,23,Essen,2910
122681,Vogelkerslaan,36,Essen,2910
123056,Hey-endlaan,28,Essen,2910
123304,Kapelstraat,102,Essen,2910
123405,Nolsebaan,184,Essen,2910
123707,Beliestraat,115,Essen,2910
124063,Stationsstraat,145,Essen,2910
124198,Collegelaan,46,Essen,2910
124424,Heikantstraat,71,Essen,2910
124836,Zandfort,13,Essen,2910
125373,Spoorwegstraat,9,Essen,2910
125822,Veldweg,45,Essen,2910
126262,Stationsstraat,97,Essen,2910
127392,Kloosterstraat,79,Essen,2910
127511,Over d'Aa,73,Essen,2910
128868,Kleiputtenlaan,44,Essen,2910
128985,Guido Gezellelaan,46,Essen,2910
129350,Kleine Horendonk,15A,Essen,2910
129799,Elshoutlaan,21B,Essen,2910
130480,Duiventorenstraat,12,Essen,2910
130633,Hemelrijklaan,29,Essen,2910
131298,Vaartstraat,36,Essen,2910
131366,Moerkantsebaan,121,Essen,2910
131505,Oude Baan,85,Essen,2910
131616,Over d'Aa,246,Essen,2910
131861,Kuiperstraat,2,Essen,2910
132492,Paviljoenweg,17,Essen,2910
133375,Steenpaal,36,Essen,2910
133715,Heikantvenstraat,3,Essen,2910
134131,Eikenblok,15,Essen,2910
134145,Korte Leemstraat,18,Essen,2910
134647,Oude Baan,111,Essen,2910
134869,Beylestraat,2,Essen,2910
135412,Vossenboslaan,17,Essen,2910
135615,Over d'Aa,91,Essen,2910
135902,Hofstraat,56,Essen,2910
136050,Greefstraat,1,Essen,2910
136357,Vaartkant,4,Essen,2910
136656,Hemelrijklaan,75,Essen,2910
137002,Larikslaan,23,Essen,2910
137168,Beliestraat,7,Essen,2910
137223,Horendonk,299,Essen,2910
138559,Steenovenstraat,4,Essen,2910
138921,Dahlialaan,5,Essen,2910
139098,Albert Yssackersstraat,25,Essen,2910
139351,Moerkantsebaan,49,Essen,2910
140751,Sint-Jansstraat,123,Essen,2910
140883,Middenstraat,60,Essen,2910
141440,Smoutebos,13,Essen,2910
141755,Beliestraat,148,Essen,2910
141895,Moerkantsebaan,134,Essen,2910
142485,Korte Leemstraat,7,Essen,2910
142562,Suzannalaan,30,Essen,2910
142856,Kievitstraat,17,Essen,2910
142865,Nieuwe Heikant,40,Essen,2910
143283,Kleine Veldweg,13,Essen,2910
143421,Achterstraat,59,Essen,2910
143500,Nieuwmoersesteenweg,101,Essen,2910
143657,Rodenbachlaan,42,Essen,2910
144463,Patrijzenlaan,5,Essen,2910
144915,Valkstraat,18,Essen,2910
145427,Struisven,16,Essen,2910
146180,Beliestraat,166,Essen,2910
146582,Kalmthoutsesteenweg,142,Essen,2910
147623,Steenovenstraat,52,Essen,2910
147632,Nachtegalendreef,25,Essen,2910
148306,Handelsstraat,27,Essen,2910
149369,Bosbessenlaan,9,Essen,2910
149566,Guido Gezellelaan,48,Essen,2910
150052,Huybergsebaan,164,Essen,2910
150477,Essendonkbos,1,Essen,2910
150549,Spijker,59,Essen,2910
150729,Achterstraat,7,Essen,2910
151150,Watermolenstraat,8,Essen,2910
151454,Kerkstraat,6,Essen,2910
151852,Maststraat,53,Essen,2910
151981,Donkweg,1,Essen,2910
152458,Achterstehoevestraat,4,Essen,2910
152582,Heuvelplein,23,Essen,2910
153080,Heikantvenstraat,43,Essen,2910
153857,Huybergsebaan,118,Essen,2910
153889,Kalmthoutsesteenweg,114,Essen,2910
154194,Kapelstraat,46,Essen,2910
154281,Boterpotlaan,37,Essen,2910
154295,Sint-Jansstraat,12,Essen,2910
154384,Begonialaan,24,Essen,2910
154421,Kraaienberg,104,Essen,2910
154531,Spijker,7,Essen,2910
154570,Stationsstraat,69,Essen,2910
154986,Sint-Jansstraat,208,Essen,2910
156075,Heikantlaan,7,Essen,2910
156331,Suzannalaan,12,Essen,2910
156375,Rodenbachlaan,14,Essen,2910
156413,Velodreef,68,Essen,2910
156524,Sint-Jansstraat,65,Essen,2910
157382,Beliestraat,131,Essen,2910
157874,Sint-Antoniusplein,11,Essen,2910
158348,Over d'Aa,55,Essen,2910
158675,Dreef,20,Essen,2910
159116,Nieuwstraat,20,Essen,2910
159186,Rinkvenstraat,13,Essen,2910
160890,Nieuwmoersesteenweg,12,Essen,2910
161394,Hendrik Consciencelaan,12,Essen,2910
161547,Steenovenstraat,24,Essen,2910
161639,Kammenstraat,99,Essen,2910
161844,Zwanenblok,8,Essen,2910
162097,Kerkstraat,45,Essen,2910
162456,Deckerslaan,51,Essen,2910
162802,Vaartstraat,70,Essen,2910
162964,Nolsebaan,44,Essen,2910
162987,Schelpheuvelstraat,67,Essen,2910
163781,Steenpaal,7,Essen,2910
163849,Elf-Novemberstraat,19,Essen,2910
165343,Kalmthoutsesteenweg,285,Essen,2910
165407,Kortestraat,5,Essen,2910
165545,Molenstraat,22,Essen,2910
165686,Kraaienberg,61,Essen,2910
165736,Velodreef,150,Essen,2910
166604,Moerkantsebaan,311,Essen,2910
167130,Kleiputtenlaan,16,Essen,2910
167218,Grensstraat,17,Essen,2910
167227,Vogelweide,5,Essen,2910
167303,Cardijnstraat,23,Essen,2910
167357,Kapelstraat,82,Essen,2910
167414,Kerkstraat,63,Essen,2910
168294,Oude Baan,108,Essen,2910
168928,Steenpaal,70,Essen,2910
169374,Kerkstraat,10,Essen,2910
170398,Beliestraat,95,Essen,2910
170873,Huybergsebaan,189,Essen,2910
172598,Korte Leemstraat,24,Essen,2910
173757,Steenovenstraat,141,Essen,2910
174194,Beukendreef,13,Essen,2910
174234,Over d'Aa,134,Essen,2910
174304,Hemelrijklaan,50,Essen,2910
174942,Kerkhofweg,10,Essen,2910
175228,Schaapsbaan,36,Essen,2910
176214,Groenlaan,17,Essen,2910
176261,Over d'Aa,116,Essen,2910
176295,Molenakkersstraat,57,Essen,2910
177100,Moerkantsebaan,60,Essen,2910
177359,Moerkantsebaan,211,Essen,2910
178858,Laaglandstraat,8,Essen,2910
178879,Leemstraat,41,Essen,2910
179393,Buntweg,18,Essen,2910
179887,Horendonk,282,Essen,2910
180567,Rodenbachlaan,49,Essen,2910
181434,Beliestraat,138,Essen,2910
181617,Corsicalaan,39,Essen,2910
181649,Kleine Horendonk,31,Essen,2910
183525,Nieuw Hoef,4,Essen,2910
183884,Etting,7,Essen,2910
184381,Krinkelsbos,4,Essen,2910
184386,Stationsstraat,120,Essen,2910
184857,Douglaslaan,7,Essen,2910
184880,Hey-endlaan,23,Essen,2910
185118,Nieuwstraat,91,Essen,2910
185431,Paviljoenweg,43,Essen,2910
185451,Kievitstraat,6,Essen,2910
185519,Kapelstraat,28,Essen,2910
185842,Steenovenstraat,69,Essen,2910
186206,Beliestraat,24,Essen,2910
186496,Schelpheuvelstraat,22,Essen,2910
186758,Kammenstraat,117,Essen,2910
186839,Horendonk,311,Essen,2910
187073,Beekstraat,16,Essen,2910
187256,Beukendreef,31,Essen,2910
187292,Over d'Aa,252,Essen,2910
187437,Sint-Jansstraat,186,Essen,2910
188438,Werf,11,Essen,2910
189589,Elzendreef,8,Essen,2910
190757,Molenstraat,50,Essen,2910
192245,Valkstraat,7,Essen,2910
192385,Beliestraat,70,Essen,2910
193009,Hemelrijklaan,39,Essen,2910
193071,Kalmthoutsesteenweg,56,Essen,2910
193172,Schuurblok,18,Essen,2910
194233,Stationsstraat,87,Essen,2910
195707,Deckerslaan,23,Essen,2910
195977,Steenpaal,77,Essen,2910
196255,Zwartven,22,Essen,2910
196314,Collegelaan,58,Essen,2910
196451,Kraaienberg,86,Essen,2910
196475,Smeyerspad,25,Essen,2910
196704,Hofstraat,31,Essen,2910
197784,Nieuwmoersesteenweg,29,Essen,2910
197791,Steenovenstraat,80,Essen,2910
198007,Schelpheuvelstraat,42,Essen,2910
198028,Kammenstraat,82,Essen,2910
198237,Elf-Novemberstraat,20,Essen,2910
198320,Deckerslaan,2,Essen,2910
198447,Moerkantsebaan,318,Essen,2910
198502,Stationsstraat,191,Essen,2910
198668,Lazaret,11,Essen,2910
198695,Leemstraat,112,Essen,2910
198882,Hondsberg,49,Essen,2910
198938,Postbaan,22,Essen,2910
199765,Over d'Aa,234,Essen,2910
200638,Stationsstraat,227,Essen,2910
201175,Kraaienberg,33,Essen,2910
201222,Vissenheuvel,12,Essen,2910
201236,Laaglandstraat,11,Essen,2910
201484,Varenlaan,25,Essen,2910
201661,Burgemeester Kenisstraat,12,Essen,2910
202853,Postbaan,75,Essen,2910
203324,Oude Baan,154,Essen,2910
203754,Kraaienberg,15,Essen,2910
203835,Guido Gezellelaan,23,Essen,2910
204030,Vaartstraat,59,Essen,2910
204082,Wasbrug,19,Essen,2910
204100,Hofstraat,13,Essen,2910
204219,Kammenstraat,8,Essen,2910
204308,Postbaan,57,Essen,2910
204320,Nieuwstraat,101,Essen,2910
205683,Schanker,32,Essen,2910
205717,Vossenboslaan,25,Essen,2910
205999,Kleiputtenlaan,52,Essen,2910
206036,Kraaienberg,68,Essen,2910
206044,Kerkstraat,27,Essen,2910
206103,Steenpaal,59,Essen,2910
206609,Vaartstraat,24,Essen,2910
208346,Kapelstraat,99,Essen,2910
208650,Hofstraat,66,Essen,2910
208707,Nieuwe Heikant,12,Essen,2910
208920,Steenpaal,24,Essen,2910
209371,Heiblok,69,Essen,2910
210022,Schaapsbaan,18,Essen,2910
210698,Horendonk,382,Essen,2910
210823,Stationsstraat,209,Essen,2910
210867,Noordeneind,12,Essen,2910
211020,Grensstraat,53,Essen,2910
211038,Guido Gezellelaan,58,Essen,2910
211181,Molenstraat,39,Essen,2910
211186,Molenstraat,5,Essen,2910
211984,Heiblok,59,Essen,2910
212175,Laaglandstraat,1,Essen,2910
212510,Stationsstraat,24,Essen,2910
212547,Hazenpad,4,Essen,2910
212606,Hondsberg,22,Essen,2910
212629,Groenlaan,8,Essen,2910
213209,Postbaan,14,Essen,2910
213564,Kammenstraat,38,Essen,2910
213704,Grensstraat,27,Essen,2910
213931,Sint-Jansstraat,115,Essen,2910
213960,Stationsstraat,119,Essen,2910
214176,Vossenboslaan,68,Essen,2910
214407,Klaprooslaan,16,Essen,2910
215318,Begonialaan,34,Essen,2910
215358,Maststraat,45,Essen,2910
215846,Hofstraat,23,Essen,2910
216184,Eikenblok,13,Essen,2910
217425,Baertshoek,6,Essen,2910
217459,Kapelstraat,48,Essen,2910
217844,Nolsebaan,90,Essen,2910
217855,Noordeneind,19,Essen,2910
218782,Sint-Jansstraat,216,Essen,2910
218941,Kapelstraat,92,Essen,2910
219396,Sint-Jansstraat,161,Essen,2910
219593,Kammenstraat,46,Essen,2910
220594,Nieuwe Heikant,19,Essen,2910
220595,Stationsstraat,70,Essen,2910
221147,Hemelrijk,17,Essen,2910
221430,Oude Baan,40,Essen,2910
221604,Kraaienberg,129,Essen,2910
221761,Den Berg,4,Essen,2910
222170,Antwerpsesteenweg,53,Essen,2910
222791,Wasbrug,12,Essen,2910
223579,Vissenheuvel,9,Essen,2910
223685,Kalmthoutsesteenweg,277,Essen,2910
223814,Velodreef,140,Essen,2910
224020,Burgemeester Kenisstraat,9,Essen,2910
224064,Steenovenstraat,95,Essen,2910
224245,Hemelrijkweg,4A,Essen,2910
224523,Sint-Jansstraat,55,Essen,2910
224615,Hemelrijklaan,32,Essen,2910
224805,Schelpheuvelstraat,57,Essen,2910
225197,Kapelstraat,74,Essen,2910
225260,Kerkstraat,71,Essen,2910
226346,Heikantlaan,52,Essen,2910
227693,Vaartkant,16,Essen,2910
227865,Maststraat,10,Essen,2910
227874,Elzendreef,11,Essen,2910
227997,Corsicalaan,42,Essen,2910
228842,Kalmthoutsesteenweg,259,Essen,2910
230222,Schelpheuvelstraat,75,Essen,2910
230449,Sint-Jansstraat,73,Essen,2910
230692,Steenovenstraat,59,Essen,2910
230713,Elzendreef,1,Essen,2910
230813,Pastoor Schoetersstraat,8,Essen,2910
231046,Beliestraat,87,Essen,2910
231470,Rodenbachlaan,39,Essen,2910
231488,Huybergsebaan,264,Essen,2910
231698,Hofstraat,51,Essen,2910
231858,Kraaienberg,6,Essen,2910
232118,Handelsstraat,17,Essen,2910
232572,Nolsebaan,72,Essen,2910
232697,Velodreef,43,Essen,2910
234166,Molenstraat,32,Essen,2910
234403,Moerkantsebaan,93,Essen,2910
235450,Doornboom,18,Essen,2910
236046,Mezendreef,14,Essen,2910
236170,Frans Noldusplein,20,Essen,2910
236644,Hey-endlaan,13,Essen,2910
237055,Deckerslaan,41,Essen,2910
237790,Nolsebaan,54,Essen,2910
238169,Stationsstraat,4,Essen,2910
238389,Raaiberg,49,Essen,2910
238624,Over d'Aa,101,Essen,2910
239412,Alfons Tirelirenstraat,13,Essen,2910
239729,Mereldreef,7,Essen,2910
240715,Schelpheuvelstraat,111,Essen,2910
240888,dr. Jef Goossenaertsstraat,2,Essen,2910
241001,Over d'Aa,154,Essen,2910
242205,Wasbrug,30,Essen,2910
242262,Stationsstraat,202,Essen,2910
242613,Sint-Antoniusstraat,2,Essen,2910
242701,Rijkmakerlaan,43,Essen,2910
243235,Platanenlaan,25,Essen,2910
244163,Molenakkersstraat,3,Essen,2910
245104,Hondsberg,50,Essen,2910
245307,Kleine Horendonk,23,Essen,2910
245500,Suzannalaan,9,Essen,2910
245795,Steenovenstraat,77,Essen,2910
246237,Groenlaan,10,Essen,2910
246968,Hemelrijklaan,60,Essen,2910
247648,Heikantlaan,34,Essen,2910
247747,Varenlaan,5,Essen,2910
247901,Over d'Aa,179,Essen,2910
248462,Stationsstraat,165,Essen,2910
248576,Hemelrijklaan,14,Essen,2910
248943,Vijverlaan,7,Essen,2910
248984,Klapboomlaan,6,Essen,2910
249071,Spoorwegstraat,26,Essen,2910
249721,Kleine Veldweg,4,Essen,2910
251018,Middenstraat,22,Essen,2910
251057,Over d'Aa,244,Essen,2910
251190,Over d'Aa,208,Essen,2910
251267,Maststraat,47,Essen,2910
251959,Vossenboslaan,5,Essen,2910
252512,Stationsstraat,112,Essen,2910
252677,Beylestraat,4,Essen,2910
253023,Molenstraat,42,Essen,2910
253510,Watermolenstraat,28,Essen,2910
253664,Kerkhofweg,6,Essen,2910
253697,Rinkvenstraat,23,Essen,2910
253994,Vaartstraat,16,Essen,2910
